iter	Passed	Remaining
405	5517	8071
406	5521	8045
407	5526	8018
408	5535	7998
409	5539	7972
410	5546	7948
411	5551	7923
412	5555	7895
413	5559	7869
414	5562	7841
415	5565	7813
416	5569	7786
417	5575	7762
418	5578	7735
419	5582	7709
420	5587	7684
421	5591	7657
422	5593	7629
423	5598	7605
424	5601	7577
425	5604	7551
426	5609	7527
427	5614	7503
428	5618	7478
429	5623	7454
430	5626	7428
431	5629	7402
432	5633	7376
433	5636	7351
434	5640	7326
435	5644	7300
436	5649	7278
437	5653	7253
438	5656	7228
439	5661	7205
440	5665	7180
441	5667	7155
442	5671	7130
443	5674	7106
444	5680	7084
445	5683	7059
446	5688	7037
447	5693	7014
448	5696	6990
449	5703	6970
450	5706	6946
451	5709	6922
452	5712	6898
453	5715	6873
454	5719	6850
455	5722	6827
456	5730	6808
457	5733	6785
458	5737	6762
459	5741	6740
460	5747	6719
461	5751	6697
462	5754	6674
463	5760	6654
464	5764	6631
465	5767	6608
466	5770	6586
467	5773	6562
468	5775	6539
469	5782	6520
470	5787	6500
471	5790	6477
472	5795	6457
473	5799	6435
474	5803	6414
475	5807	6393
476	5810	6371
477	5814	6349
478	5818	6328
479	5823	6308
480	5827	6288
481	5831	6266
482	5834	6244
483	5837	6223
484	5841	6202
485	5844	6180
486	5847	6159
487	5854	6142
488	5856	6119
489	5860	6099
490	5861	6076
491	5867	6058
492	5874	6040
493	5879	6022
494	5883	6002
495	5885	5980
496	5888	5959
497	5894	5942
498	5898	5921
499	5902	5902
500	5904	5881
501	5909	5861
502	5912	5841
503	5916	5822
504	5920	5802
505	5923	5782
506	5927	5763
507	5930	5744
508	5935	5725
509	5939	5706
510	5945	5689
511	5950	5671
512	5953	5651
513	5957	5632
514	5960	5613
515	5965	5595
516	5968	5576
517	5972	5557
518	5976	5538
519	5981	5521
520	5985	5503
521	5988	5484
522	5993	5466
523	6000	5450
524	6004	5432
525	6007	5413
526	6012	5396
527	6015	5377
528	6018	5358
529	6022	5340
530	6026	5323
531	6031	5305
532	6033	5286
533	6036	5267
534	6038	5248
535	6045	5233
536	6051	5217
537	6053	5198
538	6058	5181
539	6064	5165
540	6067	5147
541	6072	5131
542	6076	5114
543	6085	5100
544	6089	5083
545	6092	5065
546	6097	5049
547	6104	5035
548	6107	5017
549	6110	4999
550	6113	4981
551	6116	4963
552	6120	4947
553	6125	4931
554	6128	4913
555	6131	4896
556	6138	4881
557	6143	4866
558	6146	4849
559	6152	4834
560	6157	4818
561	6161	4801
562	6165	4785
563	6169	4769
564	6173	4753
565	6179	4738
566	6182	4721
567	6186	4704
568	6189	4687
569	6193	4671
570	6200	4658
571	6204	4642
572	6210	4627
573	6214	4612
574	6219	4597
575	6224	4581
576	6232	4569
577	6235	4552
578	6241	4537
579	6243	4521
580	6247	4505
581	6255	4492
582	6258	4476
583	6263	4461
584	6269	4447
585	6273	4432
586	6277	4416
587	6281	4401
588	6283	4384
589	6287	4369
590	6291	4354
591	6294	4338
592	6298	4322
593	6303	4308
594	6305	4292
595	6311	4278
596	6315	4263
597	6319	4248
598	6325	4234
599	6328	4218
600	6331	4203
601	6334	4188
602	6339	4173
603	6344	4159
604	6347	4144
605	6351	4129
606	6355	4114
607	6359	4100
608	6362	4084
609	6366	4070
610	6370	4056
611	6375	4041
612	6378	4026
613	6381	4012
614	6385	3997
615	6389	3983
616	6393	3968
617	6399	3955
618	6403	3941
619	6408	3927
620	6412	3913
621	6417	3899
622	6420	3885
623	6425	3871
624	6431	3858
625	6434	3844
626	6439	3831
627	6443	3817
628	6446	3802
629	6451	3788
630	6455	3774
631	6460	3761
632	6465	3748
633	6469	3734
634	6472	3720
635	6478	3707
636	6483	3694
637	6486	3680
638	6490	3666
639	6495	3653
640	6498	3639
641	6502	3626
642	6507	3612
643	6510	3599
644	6517	3587
645	6522	3574
646	6528	3561
647	6532	3548
648	6536	3535
649	6539	3521
650	6544	3508
651	6548	3494
652	6550	3480
653	6556	3468
654	6562	3456
655	6566	3443
656	6571	3430
657	6576	3418
658	6580	3404
659	6584	3392
660	6589	3379
661	6594	3366
662	6597	3353
663	6600	3340
664	6606	3328
665	6610	3315
666	6615	3302
667	6620	3290
668	6623	3277
669	6628	3264
670	6632	3251
671	6636	3239
672	6643	3227
673	6647	3215
674	6651	3202
675	6656	3190
676	6661	3178
677	6664	3165
678	6669	3152
679	6672	3139
680	6677	3127
681	6682	3115
682	6689	3104
683	6695	3093
684	6700	3081
685	6703	3068
686	6712	3058
687	6715	3045
688	6721	3033
689	6725	3021
690	6728	3008
691	6734	2997
692	6738	2985
693	6741	2972
694	6744	2959
695	6749	2947
696	6753	2935
697	6757	2923
698	6761	2911
699	6766	2899
700	6769	2887
701	6773	2875
702	6777	2863
703	6780	2850
704	6785	2839
705	6788	2826
706	6791	2814
707	6795	2802
708	6799	2790
709	6803	2779
710	6807	2767
711	6812	2755
712	6816	2743
713	6821	2732
714	6825	2720
715	6830	2709
716	6833	2697
717	6836	2685
718	6840	2673
719	6844	2661
720	6847	2649
721	6851	2638
722	6854	2626
723	6859	2615
724	6863	2603
725	6867	2592
726	6872	2580
727	6877	2569
728	6882	2558
729	6887	2547
730	6890	2535
731	6895	2524
732	6899	2513
733	6904	2502
734	6909	2491
735	6913	2479
736	6916	2468
737	6919	2456
738	6923	2445
739	6927	2434
740	6931	2422
741	6935	2411
742	6939	2400
743	6942	2388
744	6947	2378
745	6951	2366
746	6956	2355
747	6959	2344
748	6962	2333
749	6965	2321
750	6969	2310
751	6975	2300
752	6980	2289
753	6984	2278
754	6989	2268
755	6993	2257
756	6998	2246
757	7001	2235
758	7005	2224
759	7009	2213
760	7012	2202
761	7017	2191
762	7020	2180
763	7026	2170
764	7029	2159
765	7032	2148
766	7036	2137
767	7039	2126
768	7045	2116
769	7048	2105
770	7052	2094
771	7057	2084
772	7061	2073
773	7066	2063
774	7069	2052
775	7072	2041
776	7076	2030
777	7079	2020
778	7083	2009
779	7087	1999
780	7094	1989
781	7098	1979
782	7104	1968
783	7109	1958
784	7113	1948
785	7116	1937
786	7120	1927
787	7123	1916
788	7127	1906
789	7134	1896
790	7141	1886
791	7144	1876
792	7147	1865
793	7151	1855
794	7153	1844
795	7156	1833
796	7160	1823
797	7165	1813
798	7168	1803
799	7175	1793
800	7178	1783
801	7182	1773
802	7186	1762
803	7188	1752
804	7191	1742
805	7195	1731
806	7201	1722
807	7204	1711
808	7208	1701
809	7214	1692
810	7219	1682
811	7222	1672
812	7226	1662
813	7230	1652
814	7233	1641
815	7236	1631
816	7239	1621
817	7242	1611
818	7246	1601
819	7247	1590
820	7249	1580
821	7253	1570
822	7257	1560
823	7260	1550
824	7263	1540
825	7265	1530
826	7268	1520
827	7271	1510
828	7274	1500
829	7277	1490
830	7280	1480
831	7283	1470
832	7287	1460
833	7289	1450
834	7292	1440
835	7295	1431
836	7300	1421
837	7304	1412
838	7306	1402
839	7309	1392
840	7313	1382
841	7315	1372
842	7318	1362
843	7322	1353
844	7325	1343
845	7329	1334
846	7334	1324
847	7338	1315
848	7341	1305
849	7344	1296
850	7347	1286
851	7351	1276
852	7354	1267
853	7356	1257
854	7359	1248
855	7362	1238
856	7365	1228
857	7367	1219
858	7372	1210
859	7375	1200
860	7378	1191
861	7381	1181
862	7383	1172
863	7387	1162
864	7390	1153
865	7392	1143
866	7396	1134
867	7400	1125
868	7404	1116
869	7406	1106
870	7409	1097
871	7413	1088
872	7416	1078
873	7418	1069
874	7421	1060
875	7423	1050
876	7425	1041
877	7429	1032
878	7433	1023
879	7435	1013
880	7439	1004
881	7441	995
882	7444	986
883	7447	977
884	7451	968
885	7453	959
886	7456	949
887	7459	940
888	7464	931
889	7468	923
890	7472	914
891	7475	905
892	7477	895
893	7481	887
894	7485	878
895	7487	869
896	7490	860
897	7492	851
898	7495	842
899	7497	833
900	7501	824
901	7504	815
902	7507	806
903	7509	797
904	7514	788
905	7517	779
906	7520	771
907	7523	762
908	7526	753
909	7529	744
910	7531	735
911	7534	727
912	7538	718
913	7541	709
914	7544	700
915	7547	692
916	7551	683
917	7556	674
918	7559	666
919	7561	657
920	7564	648
921	7567	640
922	7570	631
923	7573	622
924	7578	614
925	7580	605
926	7585	597
927	7594	589
928	7597	580
929	7601	572
930	7610	564
931	7629	556
932	7635	548
933	7648	540
934	7661	532
935	7665	524
936	7667	515
937	7674	507
938	7676	498
939	7679	490
940	7681	481
941	7686	473
942	7690	464
943	7693	456
944	7695	447
945	7698	439
946	7701	431
947	7704	422
948	7706	414
949	7709	405
950	7711	397
951	7713	388
952	7715	380
953	7717	372
954	7719	363
955	7722	355
956	7724	347
957	7725	338
958	7727	330
959	7729	322
960	7731	313
961	7733	305
962	7735	297
963	7736	288
964	7738	280
965	7741	272
966	7743	264
967	7745	256
968	7747	247
969	7749	239
970	7751	231
971	7753	223
972	7754	215
973	7756	207
974	7758	198
975	7760	190
976	7761	182
977	7763	174
978	7765	166
979	7766	158
980	7768	150
981	7769	142
982	7771	134
983	7773	126
984	7775	118
985	7776	110
986	7778	102
987	7780	94
988	7781	86
989	7783	78
990	7785	70
991	7786	62
992	7788	54
993	7790	47
994	7791	39
995	7793	31
996	7795	23
997	7796	15
998	7798	7
999	7800	0
86	25
997	8487	17
998	8490	8
999	8491	0
